country_txt,country_iso,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cyprus,CYP,"40,761","41,283","41,807","42,757","45,007","47,277","49,563","51,843","54,119","56,378","58,614","60,809","62,964","63,822","64,252","64,678","65,102","65,524","65,945","66,361","66,776","67,188","67,598","67,792","67,915","68,038","68,161","68,283","68,405","68,527","68,648","68,769","68,694","68,553","68,41","68,268","68,125","67,982","67,839","67,695","67,551","67,406","67,261","67,133","67,019","66,921"
Czech Republic,CZE,"64,402","65,295","66,484","67,649","68,794","69,917","71,018","72,092","73,142","74,167","75,167","75,481","75,452","75,423","75,394","75,365","75,336","75,307","75,278","75,249","75,22","75,158","75,03","74,901","74,772","74,643","74,513","74,382","74,251","74,12","73,988","73,877","73,809","73,74","73,671","73,602","73,533","73,463","73,394","73,324","73,255","73,185","73,115","73,06","73,019","72,992"
Germany,DEU,"72,274","72,332","72,389","72,446","72,503","72,56","72,617","72,674","72,73","72,787","72,844","72,989","73,107","73,103","72,943","72,711","72,617","72,205","72,999","72,976","73,118","73,269","73,36","73,381","73,343","73,286","73,232","73,17","73,104","73,064","73,067","73,113","73,174","73,233","73,289","73,355","73,494","73,695","73,895","74,093","74,291","74,488","74,688","74,89","75,094","75,301"
Djibouti,DJI,"61,777","62,878","63,968","65,04","66,099","67,142","68,17","69,178","70,169","71,141","72,096","73,028","73,942","74,504","74,715","74,925","75,134","75,341","75,548","75,753","75,957","76,114","76,161","76,207","76,254","76,3","76,347","76,393","76,439","76,485","76,532","76,578","76,624","76,67","76,716","76,761","76,807","76,853","76,899","76,944","76,996","77,053","77,117","77,186","77,262","77,343"
Dominica,DMA,"38,683","39,47","40,264","41,061","41,864","42,671","43,484","44,297","45,115","45,935","46,759","47,793","49,524","51,257","52,99","54,71","56,422","58,118","59,798","61,45","63,079","64,482","64,569","64,656","64,744","64,831","64,918","65,005","65,092","65,179","65,265","65,382","65,689","65,994","66,299","66,601","66,903","67,203","67,502","67,799","68,094","68,389","68,681","68,97","69,256","69,539"
Denmark,DNK,"79,737","80,239","80,731","81,211","81,683","82,146","82,6","82,886","83,169","83,448","83,723","83,915","84,025","84,134","84,243","84,351","84,458","84,565","84,671","84,777","84,843","84,871","84,898","84,925","84,952","84,979","85,006","85,033","85,06","85,086","85,1","85,15","85,25","85,36","85,566","85,856","86,098","86,293","86,487","86,654","86,795","86,957","87,142","87,324","87,502","87,676"
Dominican Republic,DOM,"40,209","41,291","42,382","43,478","44,582","45,691","46,807","47,922","49,041","50,16","51,281","52,398","53,05","53,323","53,596","53,868","54,14","54,412","54,684","54,955","55,226","55,497","55,767","56,037","56,751","57,596","58,437","59,272","60,102","60,926","61,746","62,556","63,361","64,596","65,995","67,364","68,705","70,016","71,297","72,541","73,752","74,929","76,039","77,082","78,061","78,98"
Algeria,DZA,"39,5","39,665","39,831","39,997","40,163","40,33","40,497","40,928","41,794","42,665","43,542","44,42","45,303","46,189","47,079","47,968","48,86","49,722","50,511","51,298","52,085","52,871","53,657","54,439","55,219","55,997","56,774","57,544","58,313","59,118","59,919","60,712","61,501","62,284","63,061","63,83","64,593","65,348","66,097","66,822","67,526","68,209","68,87","69,51","70,129","70,727"
East Asia & Pacific (excluding high income),EAP,"18,7748809027","18,8079324789","18,8623995402","19,0039479407","19,2230035728","19,2739171084","19,437524197","19,6056922577","20,0090209826","20,657461272","21,3413099378","22,056499328","22,7825693039","23,4099907181","24,0531214998","24,7071001952","25,3719708334","26,0485470914","26,7385014124","27,4421802924","28,1606398311","28,9390109467","29,7433404077","30,5616940587","31,3943399777","32,2391247343","33,0989280625","33,9676955579","34,8494135854","35,7426011916","36,6599740471","37,6849755144","38,7908873538","39,9088187975","41,037649478","42,1721852633","43,2841846075","44,3849610499","45,4910441235","46,5957547247","47,7018449373","48,80439502","49,8818516601","50,9301891042","51,9496475969","52,939836444"
Early-demographic dividend,EAR,"26,3441788297","26,7247525842","27,1652705668","27,6138899701","28,0651956819","28,3781203283","28,8249114058","29,2710339977","29,723683827","30,1793004925","30,656219472","31,1473108945","31,5697668834","31,9949431161","32,4233339577","32,8559730381","33,2866778515","33,7041535969","34,1195802758","34,5325205413","34,9694242907","35,3298010392","35,6745900592","36,0144173329","36,3555947471","36,6947936841","37,0304017714","37,3644983251","37,6998277095","38,0358144219","38,3756340107","38,7010476947","39,0623465046","39,4243026154","39,7925222391","40,1655844848","40,5448894125","40,9281795264","41,3206196338","41,7159931481","42,1122437204","42,5103629192","42,9136276337","43,3192746384","43,7276749453","44,1382811603"
East Asia & Pacific,EAS,"24,8411995886","24,9215783105","25,0195285574","25,1762682264","25,455236471","25,5792932031","25,7374475197","25,9042134331","26,278041014","26,8728320206","27,4961129352","28,1527146659","28,8093792336","29,3744903639","29,9538472408","30,537383376","31,1379240583","31,7511633445","32,3704569863","33,0040521264","33,6501322285","34,3436302988","35,0564315287","35,7852670872","36,5333321309","37,2956934471","38,0678159751","38,8363253864","39,6177791711","40,4085185003","41,226724425","42,2243483639","43,3124941925","44,4013651193","45,4933427599","46,5836315946","47,6413529458","48,68046405","49,7279077964","50,7647859228","51,7981551567","52,8215821474","53,8184922628","54,7842416818","55,7209221207","56,6292416783"
Europe & Central Asia (excluding high income),ECA,"52,326080136","52,9955568302","53,6375092308","54,2766335855","54,9096878274","55,5164977576","56,1044759111","56,6843220194","57,2667446788","57,774531028","58,1942921257","58,7176556066","59,2817487415","59,8466211817","60,4212826506","60,979490839","61,488292103","61,9737322004","62,4576570256","62,7893004724","62,959669812","63,0640862301","63,1049791979","63,1148708155","63,1304875386","63,1583542475","63,1723054653","63,1915021083","63,2193855469","63,2508447993","63,2816678055","63,3375149629","63,4194886754","63,5310044286","63,649534669","63,7700814838","63,8893476041","64,0146305774","64,1379056106","64,2523327072","64,3569447803","64,4700076132","64,6172113015","64,7708722099","64,9274032654","65,0860950377"
Europe & Central Asia,ECS,"60,777969364","61,2496728668","61,7094393748","62,1587123288","62,5989324464","63,0076657888","63,3930393662","63,7829210916","64,1768712209","64,5312121963","64,8378349315","65,1803361995","65,4981484849","65,8001314162","66,0923525332","66,3744775051","66,6515702281","66,8905523442","67,2476185642","67,4526838245","67,5968243848","67,7155331719","67,8001686588","67,8629708878","67,9267844662","67,9926013345","68,0538408017","68,1110068562","68,1724480081","68,2445380849","68,3349130782","68,4505920155","68,6137345532","68,7834202835","68,954043155","69,128018945","69,3081107335","69,4954161698","69,6774462012","69,8460771987","70,0071557392","70,1716656568","70,3378824939","70,517486147","70,6886719765","70,870740576"
